ancestry	gene_symbol	source_file	url	expected_size_bytes	sha256	md5	synapse_id	synapse_parent_id	pipeline_batch_id	raw_lifecycle	raw_cleanup_at	raw_cleanup_reason
EUR	AGR3	AGR3_Q8TD06_OID21243_v1_Oncology.tar	https://www.synapse.org/Synapse:syn51469645	544942080		f0a91b4c461203a8e8e75114bc1e75f4	syn51469645	syn51365303				
EUR	AGRN	AGRN_O00468_OID20786_v1_Inflammation.tar	https://www.synapse.org/Synapse:syn51468633				syn51468633	syn51365303				
EUR	AGRP	AGRP_O00253_OID20658_v1_Inflammation.tar	https://www.synapse.org/Synapse:syn51471023				syn51471023	syn51365303				
EUR	AGT	AGT_P01019_OID30709_v1_Inflammation_II.tar	https://www.synapse.org/Synapse:syn52363066				syn52363066	syn51365303				
EUR	AGXT	AGXT_P21549_OID20139_v1_Cardiometabolic.tar	https://www.synapse.org/Synapse:syn51468930	548116480		4ff6bc413892e382f7d26585a6e605a6	syn51468930	syn51365303				
EUR	AHCY	AHCY_P23526_OID20199_v1_Cardiometabolic.tar	https://www.synapse.org/Synapse:syn51470240	548136960		d7ab9490090b676e640c41d3261b0740	syn51470240	syn51365303				
EUR	AHNAK2	AHNAK2_Q8IVF2_OID30244_v1_Cardiometabolic_II.tar	https://www.synapse.org/Synapse:syn52362498				syn52362498	syn51365303				
EUR	AHNAK	AHNAK_Q09666_OID30260_v1_Cardiometabolic_II.tar	https://www.synapse.org/Synapse:syn52361593				syn52361593	syn51365303				
EUR	AHSA1	AHSA1_O95433_OID31379_v1_Oncology_II.tar	https://www.synapse.org/Synapse:syn52363193				syn52363193	syn51365303				
EUR	AHSG	AHSG_P02765_OID30706_v1_Inflammation_II.tar	https://www.synapse.org/Synapse:syn52362467	549591040		8f427ed1b95e8002e53e87c913e6768d	syn52362467	syn51365303				
EUR	AHSP	AHSP_Q9NZD4_OID21078_v1_Neurology.tar	https://www.synapse.org/Synapse:syn51468414				syn51468414	syn51365303				
EUR	AIDA	AIDA_Q96BJ3_OID30956_v1_Neurology_II.tar	https://www.synapse.org/Synapse:syn52363638				syn52363638	syn51365303				
EUR	AIF1L	AIF1L_Q9BQI0_OID30204_v1_Cardiometabolic_II.tar	https://www.synapse.org/Synapse:syn52362849	545812480		d5673fc17e92219f03acaf38676c9569	syn52362849	syn51365303				
EUR	AIF1	AIF1_P55008_OID21234_v1_Oncology.tar	https://www.synapse.org/Synapse:syn51470791	545198080		6a53606dba2bd74bf372b980ceea2b40	syn51470791	syn51365303				
EUR	AIFM1	AIFM1_O95831_OID21287_v1_Oncology.tar	https://www.synapse.org/Synapse:syn51469999				syn51469999	syn51365303				
EUR	AK1	AK1_P00568_OID20122_v1_Cardiometabolic.tar	https://www.synapse.org/Synapse:syn51471062				syn51471062	syn51365303				
EUR	AK2	AK2_P54819_OID31142_v1_Neurology_II.tar	https://www.synapse.org/Synapse:syn52362653				syn52362653	syn51365303				
EUR	AKAP12	AKAP12_Q02952_OID30571_v1_Inflammation_II.tar	https://www.synapse.org/Synapse:syn52363603				syn52363603	syn51365303				
EUR	AKR1B10	AKR1B10_O60218_OID30955_v1_Neurology_II.tar	https://www.synapse.org/Synapse:syn52362243				syn52362243	syn51365303				
EUR	AKR1B1	AKR1B1_P15121_OID21244_v1_Oncology.tar	https://www.synapse.org/Synapse:syn51468721				syn51468721	syn51365303				
EUR	AKR1C4	AKR1C4_P17516_OID20062_v1_Cardiometabolic.tar	https://www.synapse.org/Synapse:syn51469028				syn51469028	syn51365303				
EUR	AKR7L	AKR7L_Q8NHP1_OID30488_v1_Inflammation_II.tar	https://www.synapse.org/Synapse:syn52361709				syn52361709	syn51365303				
EUR	AKT1S1	AKT1S1_Q96B36_OID20895_v1_Neurology.tar	https://www.synapse.org/Synapse:syn51469116				syn51469116	syn51365303				
EUR	AKT2	AKT2_P31751_OID31052_v1_Neurology_II.tar	https://www.synapse.org/Synapse:syn52362530				syn52362530	syn51365303				
EUR	AKT3	AKT3_Q9Y243_OID21197_v1_Oncology.tar	https://www.synapse.org/Synapse:syn51470944				syn51470944	syn51365303				
EUR	ALCAM	ALCAM_Q13740_OID20273_v1_Cardiometabolic.tar	https://www.synapse.org/Synapse:syn51471198				syn51471198	syn51365303				
EUR	ALDH1A1	ALDH1A1_P00352_OID21128_v1_Neurology.tar	https://www.synapse.org/Synapse:syn51471350				syn51471350	syn51365303				
EUR	ALDH2	ALDH2_P05091_OID31380_v1_Oncology_II.tar	https://www.synapse.org/Synapse:syn52362974				syn52362974	syn51365303				
EUR	ALDH3A1	ALDH3A1_P30838_OID20512_v1_Inflammation.tar	https://www.synapse.org/Synapse:syn51469607				syn51469607	syn51365303				
EUR	ALDH5A1	ALDH5A1_P51649_OID31047_v1_Neurology_II.tar	https://www.synapse.org/Synapse:syn52362255				syn52362255	syn51365303				
